Company_ID,Industry_Niche,Current_Gateway,Monthly_Volume_USD,Effective_Monthly_Fee_Lost_USD,Projected_24M_LTV_USD,Probability_to_Convert,Optimized_Target_CAC_USD,GTM_Target_Priority
IND-1066,IT Service Agency,PayPal,45302.5,1639.43,9812.52,0.8038,2366.19,High Propensity (>75%)
IND-1067,Freelance Developer,Traditional Bank,4239.93,180.87,918.37,0.1127,31.05,Low Propensity (<40%)
IND-1068,IT Service Agency,Stripe,30952.05,695.18,6704.21,0.121,243.36,Low Propensity (<40%)
IND-1069,D2C E-commerce,Traditional Bank,20664.02,904.24,4475.83,0.8138,1092.73,High Propensity (>75%)
IND-1070,Freelance Developer,PayPal,8194.79,338.29,1774.99,0.1204,64.11,Low Propensity (<40%)
IND-1071,IT Service Agency,Payoneer,41446.9,884.01,8977.4,0.1307,352.0,Low Propensity (<40%)
IND-1072,IT Service Agency,PayPal,28452.3,1041.55,6162.77,0.7854,1452.07,High Propensity (>75%)
IND-1073,Freelance Developer,Traditional Bank,3978.78,127.74,861.8,0.0984,25.44,Low Propensity (<40%)
IND-1074,Freelance Developer,Stripe,5159.83,87.93,1117.62,0.0374,12.54,Low Propensity (<40%)
IND-1075,Freelance Developer,PayPal,5641.86,233.53,1222.03,0.1074,39.38,Low Propensity (<40%)
IND-1076,Freelance Developer,PayPal,3024.27,98.13,655.06,0.0445,8.74,Low Propensity (<40%)
IND-1077,IT Service Agency,Traditional Bank,42230.38,2089.77,9147.1,0.7893,2165.94,High Propensity (>75%)
IND-1078,IT Service Agency,PayPal,35855.13,1563.89,7766.22,0.7995,1862.73,High Propensity (>75%)
IND-1079,IT Service Agency,PayPal,17842.92,777.87,3864.78,0.8117,941.11,High Propensity (>75%)
IND-1080,Freelance Developer,Traditional Bank,3142.15,154.97,680.59,0.14,28.58,Low Propensity (<40%)
IND-1081,Freelance Developer,Traditional Bank,3991.74,142.32,864.61,0.1312,34.03,Low Propensity (<40%)
IND-1082,IT Service Agency,Payoneer,34271.42,965.4,7423.19,0.7946,1769.54,High Propensity (>75%)
IND-1083,IT Service Agency,Traditional Bank,53892.79,1586.81,11673.18,0.821,2875.1,High Propensity (>75%)
IND-1084,IT Service Agency,Traditional Bank,37381.71,972.7,8096.88,0.7779,1889.57,High Propensity (>75%)
IND-1085,IT Service Agency,PayPal,26592.28,1143.35,5759.89,0.8014,1384.79,High Propensity (>75%)
IND-1086,Freelance Developer,Payoneer,5441.26,88.76,1178.58,0.0345,12.2,Low Propensity (<40%)
IND-1087,Freelance Developer,Traditional Bank,4295.82,218.4,930.47,0.1638,45.72,Low Propensity (<40%)
IND-1088,Freelance Developer,PayPal,5649.52,230.85,1223.69,0.1074,39.43,Low Propensity (<40%)
IND-1089,SaaS Startup,Traditional Bank,23483.41,1045.17,5086.51,0.7912,1207.33,High Propensity (>75%)
IND-1090,IT Service Agency,Traditional Bank,47092.31,1502.07,10200.19,0.8074,2470.69,High Propensity (>75%)
IND-1091,Freelance Developer,Traditional Bank,4951.43,212.52,1072.48,0.1113,35.81,Low Propensity (<40%)
IND-1092,Freelance Developer,Payoneer,8277.92,132.33,1793.0,0.1167,62.77,Low Propensity (<40%)
IND-1093,SaaS Startup,Traditional Bank,25448.14,1198.44,5512.07,0.8074,1335.14,High Propensity (>75%)
IND-1094,Freelance Developer,Traditional Bank,3585.12,107.2,776.54,0.0979,22.81,Low Propensity (<40%)
IND-1095,SaaS Startup,PayPal,33259.13,1385.95,7203.93,0.7932,1714.25,High Propensity (>75%)
IND-1096,SaaS Startup,Payoneer,21961.97,412.02,4756.96,0.0595,84.91,Low Propensity (<40%)
IND-1097,SaaS Startup,Traditional Bank,14989.25,407.51,3246.67,0.7074,689.01,Medium Propensity (40-75%)
IND-1098,IT Service Agency,PayPal,51529.13,1972.43,11161.21,0.8066,2700.79,High Propensity (>75%)
IND-1099,IT Service Agency,Traditional Bank,55777.78,1671.48,12081.47,0.8017,2905.71,High Propensity (>75%)
IND-1100,IT Service Agency,PayPal,34669.75,1443.2,7509.47,0.7975,1796.64,High Propensity (>75%)
IND-1101,Freelance Developer,PayPal,3992.7,136.54,864.82,0.1514,39.28,Low Propensity (<40%)
IND-1102,IT Service Agency,PayPal,33276.25,1195.07,7207.64,0.7852,1697.83,High Propensity (>75%)
IND-1103,SaaS Startup,Traditional Bank,24288.39,969.67,5260.87,0.7901,1246.98,High Propensity (>75%)
IND-1104,D2C E-commerce,Traditional Bank,21389.28,694.19,4632.92,0.7846,1090.5,High Propensity (>75%)
IND-1105,IT Service Agency,Traditional Bank,40704.87,1430.24,8816.67,0.781,2065.75,High Propensity (>75%)
IND-1106,SaaS Startup,Traditional Bank,20610.34,956.51,4464.2,0.8109,1086.01,High Propensity (>75%)
IND-1107,Freelance Developer,Traditional Bank,7996.02,242.03,1731.94,0.1063,55.23,Low Propensity (<40%)
IND-1108,IT Service Agency,Payoneer,31871.64,537.18,6903.4,0.1223,253.29,Low Propensity (<40%)
IND-1109,IT Service Agency,Stripe,45309.19,859.21,9813.97,0.0998,293.83,Low Propensity (<40%)
IND-1110,IT Service Agency,Stripe,32119.37,632.36,6957.06,0.1128,235.43,Low Propensity (<40%)
IND-1111,IT Service Agency,Payoneer,39310.23,936.29,8514.6,0.174,444.46,Low Propensity (<40%)
IND-1112,D2C E-commerce,PayPal,14432.19,528.67,3126.01,0.8068,756.62,High Propensity (>75%)
IND-1113,Freelance Developer,Payoneer,4888.3,132.93,1058.81,0.0977,31.04,Low Propensity (<40%)
IND-1114,Freelance Developer,Traditional Bank,4245.23,112.24,919.52,0.0965,26.62,Low Propensity (<40%)
IND-1115,Freelance Developer,PayPal,7689.71,287.15,1665.59,0.1397,69.8,Low Propensity (<40%)
IND-1116,Freelance Developer,PayPal,3534.15,128.24,765.5,0.1357,31.16,Low Propensity (<40%)
IND-1117,IT Service Agency,PayPal,27597.68,1128.65,5977.66,0.7699,1380.66,High Propensity (>75%)
IND-1118,Freelance Developer,Payoneer,9241.99,276.64,2001.82,0.098,58.85,Low Propensity (<40%)
IND-1119,SaaS Startup,Traditional Bank,25867.09,1012.52,5602.81,0.7913,1330.05,High Propensity (>75%)
IND-1120,Freelance Developer,Traditional Bank,1000.0,50.93,216.6,0.0932,6.06,Low Propensity (<40%)
IND-1121,Freelance Developer,Stripe,3869.48,71.85,838.13,0.0394,9.91,Low Propensity (<40%)
IND-1122,IT Service Agency,Traditional Bank,16880.11,440.94,3656.23,0.7168,786.24,Medium Propensity (40-75%)
IND-1123,IT Service Agency,PayPal,25493.09,845.35,5521.8,0.7731,1280.67,High Propensity (>75%)
IND-1124,IT Service Agency,Stripe,3614.85,70.41,782.98,0.0426,10.01,Low Propensity (<40%)
IND-1125,SaaS Startup,PayPal,19178.06,683.24,4153.97,0.8026,1000.19,High Propensity (>75%)
IND-1126,Freelance Developer,PayPal,2716.12,88.32,588.31,0.0451,7.96,Low Propensity (<40%)
IND-1127,Freelance Developer,Traditional Bank,5119.81,188.99,1108.95,0.124,41.25,Low Propensity (<40%)
IND-1128,IT Service Agency,Traditional Bank,18748.79,646.72,4060.99,0.8067,982.8,High Propensity (>75%)
IND-1129,SaaS Startup,Payoneer,20497.47,351.7,4439.75,0.0692,92.17,Low Propensity (<40%)
IND-1130,SaaS Startup,PayPal,17510.5,613.61,3792.77,0.7974,907.3,High Propensity (>75%)
IND-1131,IT Service Agency,PayPal,50019.53,2206.27,10834.23,0.8157,2651.24,High Propensity (>75%)
IND-1132,IT Service Agency,Traditional Bank,49113.57,1660.34,10638.0,0.814,2597.8,High Propensity (>75%)
IND-1133,IT Service Agency,Traditional Bank,42853.46,1885.53,9282.06,0.7901,2200.13,High Propensity (>75%)
IND-1134,D2C E-commerce,Stripe,13366.93,287.92,2895.28,0.1338,116.22,Low Propensity (<40%)
IND-1135,IT Service Agency,Traditional Bank,54853.8,2016.13,11881.33,0.8088,2882.89,High Propensity (>75%)
IND-1136,SaaS Startup,PayPal,10681.79,366.4,2313.68,0.6345,440.41,Medium Propensity (40-75%)
IND-1137,Freelance Developer,Traditional Bank,2192.88,77.05,474.98,0.0588,8.38,Low Propensity (<40%)
IND-1138,IT Service Agency,PayPal,34162.17,1353.94,7399.53,0.7907,1755.24,High Propensity (>75%)
IND-1139,D2C E-commerce,Stripe,26270.19,498.55,5690.12,0.1269,216.62,Low Propensity (<40%)
IND-1140,D2C E-commerce,PayPal,13988.31,471.76,3029.87,0.8124,738.44,High Propensity (>75%)
IND-1141,IT Service Agency,Traditional Bank,33167.55,937.08,7184.09,0.7914,1705.65,High Propensity (>75%)
IND-1142,SaaS Startup,PayPal,11348.54,499.95,2458.09,0.8004,590.24,High Propensity (>75%)
IND-1143,IT Service Agency,Payoneer,44459.3,991.44,9629.88,0.1754,506.72,Low Propensity (<40%)
IND-1144,IT Service Agency,PayPal,44531.76,1819.61,9645.58,0.7895,2284.56,High Propensity (>75%)
IND-1145,IT Service Agency,Payoneer,42890.75,979.26,9290.14,0.1849,515.32,Low Propensity (<40%)
IND-1146,Freelance Developer,PayPal,3741.56,165.98,810.42,0.1208,29.37,Low Propensity (<40%)
IND-1147,SaaS Startup,Payoneer,15759.76,373.64,3413.56,0.1642,168.15,Low Propensity (<40%)
IND-1148,IT Service Agency,PayPal,22068.78,847.42,4780.1,0.7855,1126.43,High Propensity (>75%)
IND-1149,IT Service Agency,Traditional Bank,35838.73,1761.3,7762.67,0.7745,1803.66,High Propensity (>75%)
IND-1150,D2C E-commerce,Traditional Bank,9597.96,417.51,2078.92,0.1293,80.64,Low Propensity (<40%)
IND-1151,IT Service Agency,Traditional Bank,23225.83,660.4,5030.71,0.7636,1152.44,High Propensity (>75%)
IND-1152,IT Service Agency,Stripe,30763.09,531.45,6663.29,0.1097,219.29,Low Propensity (<40%)
IND-1153,SaaS Startup,Payoneer,17065.06,467.34,3696.29,0.8174,906.4,High Propensity (>75%)
IND-1154,D2C E-commerce,PayPal,12310.11,530.97,2666.37,0.801,640.73,High Propensity (>75%)
IND-1155,IT Service Agency,Traditional Bank,39664.45,1556.45,8591.32,0.7947,2048.26,High Propensity (>75%)
IND-1156,Freelance Developer,Traditional Bank,5158.1,206.41,1117.24,0.1251,41.93,Low Propensity (<40%)
IND-1157,Freelance Developer,Payoneer,4423.69,111.61,958.17,0.1055,30.33,Low Propensity (<40%)
IND-1158,IT Service Agency,PayPal,36830.13,1376.79,7977.41,0.7756,1856.18,High Propensity (>75%)
IND-1159,Freelance Developer,Traditional Bank,3016.95,130.02,653.47,0.1211,23.74,Low Propensity (<40%)
IND-1160,IT Service Agency,PayPal,36052.79,1162.32,7809.03,0.7896,1849.8,High Propensity (>75%)
IND-1161,Freelance Developer,Traditional Bank,5301.2,264.84,1148.24,0.1162,40.03,Low Propensity (<40%)
IND-1162,Freelance Developer,Traditional Bank,1993.91,88.3,431.88,0.0566,7.33,Low Propensity (<40%)
IND-1163,SaaS Startup,PayPal,25974.16,1053.39,5626.0,0.7939,1339.94,High Propensity (>75%)
IND-1164,IT Service Agency,Traditional Bank,26185.66,881.34,5671.81,0.7919,1347.45,High Propensity (>75%)
IND-1165,Freelance Developer,Stripe,5180.62,89.45,1122.12,0.0374,12.59,Low Propensity (<40%)
IND-1166,IT Service Agency,Traditional Bank,46644.12,1699.27,10103.12,0.8047,2438.99,High Propensity (>75%)
IND-1167,IT Service Agency,Traditional Bank,44256.77,1859.58,9586.02,0.783,2251.76,High Propensity (>75%)
IND-1168,IT Service Agency,Traditional Bank,35343.33,1507.94,7655.37,0.7957,1827.41,High Propensity (>75%)
IND-1169,SaaS Startup,Payoneer,17825.01,379.35,3860.9,0.0798,92.43,Low Propensity (<40%)
IND-1170,Freelance Developer,PayPal,6895.02,275.76,1493.46,0.1095,49.06,Low Propensity (<40%)
IND-1171,IT Service Agency,PayPal,41746.95,1800.37,9042.39,0.7877,2136.81,High Propensity (>75%)
IND-1172,SaaS Startup,Traditional Bank,16289.81,430.24,3528.37,0.7477,791.45,Medium Propensity (40-75%)
IND-1173,IT Service Agency,Traditional Bank,27051.06,996.34,5859.26,0.7918,1391.81,High Propensity (>75%)
IND-1174,Freelance Developer,PayPal,1000.0,41.63,216.6,0.0858,5.57,Low Propensity (<40%)
IND-1175,IT Service Agency,Payoneer,36540.32,860.03,7914.63,0.1177,279.46,Low Propensity (<40%)
IND-1176,Freelance Developer,Payoneer,4834.6,121.92,1047.17,0.1022,32.11,Low Propensity (<40%)
IND-1177,IT Service Agency,Traditional Bank,46361.91,1781.76,10041.99,0.7972,2401.64,High Propensity (>75%)
IND-1178,D2C E-commerce,PayPal,16795.28,773.04,3637.86,0.8146,889.02,High Propensity (>75%)
IND-1179,IT Service Agency,Stripe,48342.29,769.24,10470.94,0.1282,402.71,Low Propensity (<40%)
IND-1180,IT Service Agency,Traditional Bank,28026.36,1071.62,6070.51,0.7942,1446.36,High Propensity (>75%)
IND-1181,IT Service Agency,Payoneer,46381.5,781.26,10046.23,0.0966,291.14,Low Propensity (<40%)
IND-1182,D2C E-commerce,Traditional Bank,12355.42,363.16,2676.18,0.7049,565.93,Medium Propensity (40-75%)
IND-1183,Freelance Developer,Stripe,6555.19,128.48,1419.85,0.0734,31.27,Low Propensity (<40%)
IND-1184,IT Service Agency,Payoneer,20412.42,361.11,4421.33,0.0689,91.39,Low Propensity (<40%)
IND-1185,Freelance Developer,Stripe,5470.27,139.14,1184.86,0.0927,32.95,Low Propensity (<40%)
IND-1186,Freelance Developer,PayPal,1030.62,46.85,223.23,0.0761,5.1,Low Propensity (<40%)
IND-1187,SaaS Startup,Traditional Bank,18397.18,626.99,3984.83,0.8086,966.64,High Propensity (>75%)
IND-1188,SaaS Startup,Stripe,22642.12,491.31,4904.28,0.1372,201.86,Low Propensity (<40%)
IND-1189,IT Service Agency,Traditional Bank,29790.31,1171.26,6452.58,0.7947,1538.36,High Propensity (>75%)
IND-1190,IT Service Agency,Traditional Bank,24495.62,1138.11,5305.75,0.8055,1282.13,High Propensity (>75%)
IND-1191,Freelance Developer,Payoneer,6692.24,165.6,1449.54,0.0875,38.05,Low Propensity (<40%)
IND-1192,D2C E-commerce,Payoneer,14482.69,223.6,3136.95,0.139,130.81,Low Propensity (<40%)
IND-1193,Freelance Developer,Stripe,4020.86,94.23,870.92,0.0558,14.58,Low Propensity (<40%)
IND-1194,IT Service Agency,Traditional Bank,35418.96,1593.53,7671.75,0.7954,1830.63,High Propensity (>75%)
IND-1195,IT Service Agency,Payoneer,61366.69,1412.8,13292.03,0.3704,1477.01,Low Propensity (<40%)
IND-1196,Freelance Developer,Payoneer,7307.01,214.94,1582.7,0.0902,42.83,Low Propensity (<40%)
IND-1197,Freelance Developer,Traditional Bank,7325.15,362.01,1586.63,0.1387,66.02,Low Propensity (<40%)
IND-1198,Freelance Developer,Traditional Bank,5871.09,226.45,1271.68,0.1234,47.08,Low Propensity (<40%)
IND-1199,Freelance Developer,Traditional Bank,5332.97,219.64,1155.12,0.1124,38.95,Low Propensity (<40%)
IND-1200,Freelance Developer,Traditional Bank,1000.0,50.94,216.6,0.1089,7.08,Low Propensity (<40%)
IND-1201,IT Service Agency,Stripe,28210.2,529.0,6110.33,0.1242,227.67,Low Propensity (<40%)
IND-1202,IT Service Agency,PayPal,30194.26,1077.66,6540.08,0.7903,1550.59,High Propensity (>75%)
IND-1203,Freelance Developer,Payoneer,1250.22,22.76,270.8,0.1352,10.98,Low Propensity (<40%)
IND-1204,Freelance Developer,Stripe,2685.17,65.95,581.61,0.0886,15.46,Low Propensity (<40%)
IND-1205,IT Service Agency,Traditional Bank,15191.64,672.37,3290.51,0.8143,803.84,High Propensity (>75%)
IND-1206,IT Service Agency,Payoneer,34616.76,588.23,7497.99,0.1445,325.04,Low Propensity (<40%)
IND-1207,Freelance Developer,PayPal,6637.53,302.73,1437.69,0.107,46.15,Low Propensity (<40%)
IND-1208,IT Service Agency,Payoneer,46067.75,1238.1,9978.27,0.7585,2270.56,High Propensity (>75%)
IND-1209,IT Service Agency,Traditional Bank,39147.84,1856.69,8479.42,0.7712,1961.8,High Propensity (>75%)
IND-1210,SaaS Startup,Stripe,14219.62,223.94,3079.97,0.0922,85.19,Low Propensity (<40%)
IND-1211,Freelance Developer,Traditional Bank,1135.87,43.82,246.03,0.0788,5.82,Low Propensity (<40%)
IND-1212,Freelance Developer,Traditional Bank,1486.26,65.5,321.92,0.064,6.18,Low Propensity (<40%)
IND-1213,IT Service Agency,Payoneer,22310.17,534.27,4832.38,0.1311,190.06,Low Propensity (<40%)
IND-1214,Freelance Developer,Traditional Bank,3222.28,135.86,697.95,0.1199,25.1,Low Propensity (<40%)
IND-1215,IT Service Agency,PayPal,33402.52,1431.87,7234.99,0.799,1734.23,High Propensity (>75%)
IND-1216,IT Service Agency,PayPal,24858.36,892.95,5384.32,0.7985,1289.81,High Propensity (>75%)
IND-1217,Freelance Developer,Payoneer,5677.95,163.44,1229.84,0.0909,33.54,Low Propensity (<40%)
IND-1218,Freelance Developer,Traditional Bank,4535.45,134.13,982.38,0.104,30.65,Low Propensity (<40%)
IND-1219,Freelance Developer,Traditional Bank,5021.09,163.84,1087.57,0.0984,32.11,Low Propensity (<40%)
IND-1220,Freelance Developer,Traditional Bank,7280.5,193.86,1576.96,0.0833,39.41,Low Propensity (<40%)
IND-1221,SaaS Startup,PayPal,12918.61,463.18,2798.17,0.8121,681.72,High Propensity (>75%)
IND-1222,IT Service Agency,Traditional Bank,39187.05,1406.51,8487.92,0.7909,2013.93,High Propensity (>75%)
IND-1223,IT Service Agency,Traditional Bank,34860.27,1600.32,7550.73,0.8028,1818.52,High Propensity (>75%)
IND-1224,IT Service Agency,Traditional Bank,31665.14,1350.09,6858.67,0.7836,1612.33,High Propensity (>75%)
IND-1225,IT Service Agency,Traditional Bank,43852.56,1618.46,9498.46,0.8001,2279.92,High Propensity (>75%)
IND-1226,D2C E-commerce,PayPal,19395.07,794.17,4200.97,0.7985,1006.34,High Propensity (>75%)
IND-1227,IT Service Agency,Payoneer,25535.09,408.28,5530.9,0.0688,114.16,Low Propensity (<40%)
IND-1228,Freelance Developer,Traditional Bank,4635.68,138.6,1004.09,0.1072,32.29,Low Propensity (<40%)
IND-1229,Freelance Developer,PayPal,5562.42,226.43,1204.82,0.1066,38.53,Low Propensity (<40%)
IND-1230,Freelance Developer,PayPal,4453.99,182.23,964.73,0.1107,32.04,Low Propensity (<40%)
IND-1231,SaaS Startup,PayPal,23510.13,990.53,5092.29,0.7951,1214.66,High Propensity (>75%)
IND-1232,SaaS Startup,Payoneer,21687.15,470.85,4697.44,0.1246,175.59,Low Propensity (<40%)
IND-1233,SaaS Startup,PayPal,30995.37,1296.06,6713.6,0.788,1587.1,High Propensity (>75%)
IND-1234,IT Service Agency,PayPal,19697.21,815.21,4266.42,0.8022,1026.76,High Propensity (>75%)
IND-1235,Freelance Developer,Traditional Bank,4755.13,236.26,1029.96,0.1211,37.42,Low Propensity (<40%)
IND-1236,IT Service Agency,PayPal,25914.97,884.11,5613.18,0.792,1333.69,High Propensity (>75%)
IND-1237,IT Service Agency,PayPal,41041.07,1612.86,8889.5,0.7955,2121.48,High Propensity (>75%)
IND-1238,Freelance Developer,Traditional Bank,1765.66,71.84,382.44,0.0603,6.92,Low Propensity (<40%)
IND-1239,IT Service Agency,Traditional Bank,38463.13,1939.19,8331.11,0.5867,1466.36,Medium Propensity (40-75%)
IND-1240,D2C E-commerce,Stripe,11849.76,206.61,2566.66,0.0695,53.51,Low Propensity (<40%)
IND-1241,D2C E-commerce,PayPal,11329.19,440.76,2453.9,0.6533,480.94,Medium Propensity (40-75%)
IND-1242,D2C E-commerce,PayPal,7767.51,281.49,1682.44,0.1267,63.95,Low Propensity (<40%)
IND-1243,IT Service Agency,Stripe,30349.24,625.8,6573.65,0.1152,227.18,Low Propensity (<40%)
IND-1244,IT Service Agency,Payoneer,45845.01,868.0,9930.03,0.0997,297.01,Low Propensity (<40%)
IND-1245,D2C E-commerce,PayPal,14874.06,469.28,3221.72,0.8119,784.71,High Propensity (>75%)
IND-1246,SaaS Startup,Payoneer,23766.08,577.03,5147.73,0.1355,209.26,Low Propensity (<40%)
IND-1247,D2C E-commerce,Payoneer,23323.21,478.85,5051.81,0.1234,187.02,Low Propensity (<40%)
